Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Уничтожитель бумаги и дисков;2021-10-26 17:00:00;2021-10-29 06:56:42;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по перевозке пассажирского автотранспорта ;2021-10-14 12:00:00;2021-10-14 12:25:26;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Картридж к принтеру XEROX Phaser 5335 N;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Телефонные аппараты;2021-10-20 13:00:00;2021-10-21 17:38:12;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Датчик температуры;2021-10-08 09:00:00;2021-10-14 19:07:43;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Повышение квалификации по теме: Red Hat System Administration I;2021-10-27 09:00:00;2021-11-03 10:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
услуги по предоставлению доступа к базе данных соискателей работы;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги по оценке имущества;2021-10-15 09:00:00;2021-10-20 20:11:10;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту/реконструкции линий связи/линейно-кабельных сооружений;2021-10-08 09:00:00;2021-10-08 10:26:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Система контроля и управления доступом;2021-10-14 14:30:00;2021-10-15 15:15:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Аппарат теплообменный;2021-11-02 09:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупка дезинфицирующих средств, перчаток, масок и термометров для Кызылординского областного филиала АО «ЕНПФ» по Лотам №№ 1-4 на 2021 год ;2021-10-27 09:00:00;2021-11-03 09:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по производственному мониторингу источника выбросов ;2021-10-21 10:00:00;2021-10-28 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Костюм;2021-10-07 14:30:00;2021-10-12 12:33:36;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию автотранспорта (прочего автотранспорта);2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ74125KZTN005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
SFP 10 Гб модули;2021-10-27 09:00:00;2021-11-03 09:30:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
 О закупках услуги техническое обслуживание бронированного специального автотранспорта   ;2021-10-15 09:00:00;2021-10-15 14:11:25;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Электротехнические изделия;2021-10-21 09:00:00;2021-10-25 13:20:37;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по подготовке/производству/выпуску видеосюжетов, роликов и аналогичных видеозаписей;2021-10-08 09:00:00;2021-10-13 12:53:49;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Радиотелефон;2021-10-27 09:00:00;2021-10-30 18:04:44;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
 О закупках услуги техническое обслуживание легкового автотранспорта  ;2021-10-15 09:00:00;2021-10-15 14:06:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка моющего пылесоса;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Спец. одежда;2021-10-20 10:00:00;2021-10-21 08:54:15;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуга по технической поддержке лицензионного программного обеспечения «INUS Capsule»;2021-10-12 09:00:00;2021-10-19 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-10-27 09:00:00;2021-10-27 11:54:56;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Бумага офсетная;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по проведению испытаний на соответствие требованиям информационной безопасности ИС «Портал закупок»;2021-10-14 09:00:00;2021-10-21 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги по обучению персонала/сотрудников;2021-10-21 13:00:00;2021-10-26 09:50:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
 О закупках  услуги по демеркуризации;2021-10-08 09:00:00;2021-10-11 11:56:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTP004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
инструмент;2021-11-01 14:30:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Cредства дезинфицирующее, перчатки, маски, термометры для Павлодарского областного филиала АО «ЕНПФ» по Лотам №№1-4 на 2021 год ;2021-10-27 09:00:00;2021-10-27 09:56:52;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Тонер-картридж оригинальный к МФУ Xerox WorkCenter 3345;2021-10-20 13:00:00;2021-10-27 13:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по оценке автотранспортных средств;2021-10-14 09:00:00;2021-10-14 18:49:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ41125KZTR004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Картридж МФУ ф.А4 HP Laser 135r, черный;2021-10-07 09:00:00;2021-10-13 13:36:05;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-10-26 13:00:00;2021-10-26 16:12:37;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Принт-картридж оригинальный к МФУ Xerox WorkCentre 3345;2021-10-20 13:00:00;2021-10-27 13:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Техническая поддержка лицензионного программного обеспечения INUS Capsule;2021-11-01 15:00:00;2021-11-08 15:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Бумага офсетная;2021-10-14 09:00:00;2021-10-14 11:14:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Флеш-накопитель;2021-10-07 09:00:00;2021-10-08 13:48:01;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Картридж к принтеру XEROX Phaser 5335 N;2021-10-20 13:00:00;2021-10-27 13:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Повторные электронные закупки жалюзи для центрального аппарата акционерного общества «Единый накопительный пенсионный фонд» на 2021 год;2021-11-02 09:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений (кроме оборудования, инженерных систем и коммуникаций);2021-10-14 09:00:00;2021-10-14 15:06:18;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по авторскому/техническому надзору;2021-10-25 22:00:00;2021-11-01 22:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Текущий ремонт помещения в административном здании (г.Алматы);2021-10-07 09:00:00;2021-10-14 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Комплексные работы по внедрению информационной системы  ""Anti-money laundering""";2021-10-20 14:00:00;2021-10-27 12:13:29;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по администрированию и техническому обслуживанию программного обеспечения;2021-11-02 09:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений (кроме оборудования, инженерных систем и коммуникаций);2021-10-14 09:00:00;2021-10-14 15:01:23;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
О закупках периодических печатных изданий;2021-10-26 09:00:00;2021-10-26 11:45:33;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;2021-10-06 17:15:00;2021-10-07 15:52:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ24125KZT1001307752, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту/реконструкции отдельных элементов нежилых зданий/сооружений/помещений (кроме оборудования, инженерных систем и коммуникаций);2021-10-14 09:00:00;2021-10-14 14:56:07;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
О закупках периодических печатных изданий;2021-10-26 09:00:00;2021-10-26 11:39:10;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Тележка ручная шагающая;2021-11-02 10:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка блокиратора дорожного;2021-10-07 09:00:00;2021-10-07 11:11:43;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по предоставлению лицензий на право использования программного обеспечения;2021-10-20 09:00:00;2021-10-22 16:38:13;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Редуктор;2021-10-25 15:00:00;2021-10-25 15:28:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
инструмент;2021-10-13 16:00:00;2021-10-18 13:45:19;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по производственному мониторингу источника выбросов ;2021-11-02 10:00:00;2021-11-09 10:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по сопровождению программного обеспечения 1С;2021-10-06 17:00:00;2021-10-13 17:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Муфта;2021-10-20 09:00:00;2021-10-22 08:39:02;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Говядина;2021-10-14 09:00:00;2021-10-18 09:43:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Масла и смазки;2021-11-02 09:00:00;2021-11-09 09:00:00;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Средства индивидуальной защиты для Атырауского областного филиала АО ""ЕНПФ"" по Лотам №№ 1-5 на 2021 г.";2021-10-26 10:00:00;2021-10-26 23:55:29;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по поверке средств измерений;2021-10-07 09:00:00;2021-10-08 00:09:53;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
инструмент;2021-10-19 15:00:00;2021-10-22 11:14:17;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
